etape,date,depart,arrivee,distance,denivele_positif,denivele_negatif,duree,difficulte,terrain,hebergement,bivouacA,bivouacB,eau,ravitaillement,altitude,exposition,reseau,telephone
1,2025-09-08,Hendaye,Ibardin,15,850,450,6h,Moyenne,foret/colline,Venta Elizalde,Col d'Ibardin - vue sur ocean et Pyrenees,replat boise avant col,Fontaine Ibardin,commerce Ibardin,317,variable,variable,+34 948 63 10 24
2,2025-09-09,Ibardin,Sare,16.5,700,1000,6.5h,Difficile,foret ombragee,Gite La Petite Rhune,Sommet de la Rhune - panorama exceptionnel,clairiere avant Sare,Fontaine Sare,epicerie/boulangerie,700,variable,bon,05 59 54 23 97
3,2025-09-10,Sare,Col des Veaux,16,600,200,5.7h,Simple,crete herbeuse,Maison Bordacharia,Col des Veaux - vue sur vallees basques,replat cote ouest,Source de crete,-,493,vent/soleil,variable,05 59 54 28 58
4,2025-09-11,Col des Veaux,Bidarray,12.5,450,850,4.9h,Simple,chemins caillouteux,Gite Aire Zabal,Crete d'Iparla - vue sur Nive,prairies avant descente,Fontaine Bidarray,epicerie,716,variable,bon,+33 7 50 04 11 61
5,2025-09-12,Bidarray,St-Etienne-de-Baigorry,18.5,1250,1250,8.2h,Difficile,cretes basques,Gite Mendizaleen Pausa,Pic d'Artzamendi - panorama 360°,replat hors crete,Fontaines Baigorry,superette/boulangerie,1456,variable,variable,05 59 37 40 14
6,2025-09-13,St-Etienne-de-Baigorry,St-Jean-Pied-de-Port,19,950,950,7.6h,Difficile,vallons doux,Gite municipal,Col de Buztanzelhay - vue sur Compostelle,aire avant ville,Fontaines SJPP,pleins commerces,430,variable,bon,05 59 37 03 57
7,2025-09-14,St-Jean-Pied-de-Port,Esterencuby,12,500,450,4.5h,Simple,gorges,Gite Kaskoleta,Clairiere d'Esterencuby (abritee, rive),Replat avant village (Esterencuby),Fontaine Esterencuby,epicerie/resto,1008,variable,variable,05 59 37 30 44
8,2025-09-15,Esterencuby,Phagalcette,8.5,400,150,3.2h,Simple,paturages,Plateau pastoral,Plateau de Phagalcette - vue montagnes basques,clairiere abritee,Source locale,-,1200,variable,variable,05 59 37 30 44
9,2025-09-16,Phagalcette,Iraty (chalets),14.5,1000,550,6.2h,Simple,foret de hetres,Chalets d'Iraty,Foret d'Iraty - vue sur hetraie,clairieres sous crete,Fontaines Iraty,superette saisonniere,1300,variable,variable,05 59 28 51 29
10,2025-09-17,Iraty (chalets),Logibar,16,450,1400,6.2h,Moyenne,descente forestiere,Gite Logibar,Pic d'Orhy - sommet emblematique,replat forestier,Ruisseau Olhadoko,bar/auberge,500,variable,variable,05 59 28 61 14
11,2025-09-18,Logibar,Ste-Engrace,18,950,750,7.2h,Moyenne,gorges,Gite d'etape Ste-Engrace,Gorges de Kakuetta - site naturel,clairieres rive droite,Uhaitza,epicerie/auberge,1600,variable,variable,05 59 28 61 83
12,2025-09-19,Ste-Engrace,La Pierre-St-Martin,11,550,350,4.3h,Simple,karst pierreux,Station PSM,Col de la Pierre-St-Martin - vue Bearn/Navarre,zone abritee contrebas,Point d'eau station,superette station,1760,variable,irregulier,05 59 66 20 09
13,2025-09-20,La Pierre-St-Martin,Lescun,15.5,500,1200,6h,Moyenne,vallee glaciaire,Gites Lescun,Plateau de Sanchese - vue aiguilles d'Ansabere,vallon abrite,Fontaine Lescun,epicerie/gite,1200,variable,variable,05 59 34 71 54
