Étape,Date,Départ,Arrivée,Distance (km),Dénivelé + (m),Dénivelé - (m),Durée,Difficulté,Terrain,Hébergement,Bivouac Principal,Bivouac Alternatif,Eau,Ravitaillement,Altitude (m),Exposition,Réseau,Téléphone
1,2025-09-08,Hendaye,Ibardin,15,850,450,6h,Moyenne,"forêt/colline, sentier parfois caillouteux",Gîte Ibardin,"Col d'Ibardin – vue sur l'océan","replat boisé 1–2 km avant le col",Fontaine/commerce Ibardin,—,317,"variable (vallée/forêt)",variable,
2,2025-09-09,Ibardin,Sare,16.5,700,1000,6.5h,Difficile,"forêt ombragée, pistes et sentier",Hébergement Sare,"Crête vers Atxuria – panorama Pays Basque","clairière avant Sare",Fontaine du bourg de Sare,épicerie/boulangerie,700,"variable (vallée/forêt)","souvent bon (vallée/ville)",
3,2025-09-10,Sare,Col des Veaux,16,600,200,5.7h,Simple,"crête herbeuse, quelques passages rocheux",Auberge Col des Veaux,"Col des Veaux – vue sur la Rhune","replat côté ouest sous la crête","Source de crête (à confirmer)",—,493,"vent/soleil (crête)",variable,
4,2025-09-11,Col des Veaux,Bidarray,12.5,450,850,4.9h,Simple,"chemins caillouteux, fortes descentes",Gîte Bidarray,"Col de Mehatze – vues vallées","prairies en lisière avant la descente",Fontaine du bourg de Bidarray,épicerie,716,"variable (vallée/forêt)","souvent bon (vallée/ville)",
5,2025-09-12,Bidarray,St‑Étienne‑de‑Baïgorry,18.5,1250,1250,8.2h,Difficile,"crêtes basques, pente soutenue",Gîte Baïgorry,"Crête d'Occabé – panorama","replat hors crête si vent",Fontaines Baïgorry,superette/boulangerie,1456,"variable (vallée/forêt)",variable,
6,2025-09-13,St‑Étienne‑de‑Baïgorry,St‑Jean‑Pied‑de‑Port,19,950,950,7.6h,Difficile,"vallons doux, chemins",Multiples gîtes SJPP,"Col d'Handiaga – vue montagne","aire en amont de la ville",Fontaines SJPP,pleins commerces,430,"variable (vallée/forêt)","souvent bon (vallée/ville)",
7,2025-09-14,St‑Jean‑Pied‑de‑Port,Estérençuby,12,500,450,4.5h,Simple,"gorges + route/sentier",Auberge Estérençuby,"Col d'Irau – panorama sur vallée","replat de rive en amont",Fontaine Estérençuby,"épicerie/resto (selon saison)",1008,"variable (vallée/forêt)",variable,
8,2025-09-15,Estérençuby,Phagalcette,8.5,400,150,3.2h,Simple,"pâturages d'altitude",Retour Estérençuby,"Plateau pastoral – vue sur montagnes basques","clairière abritée avant plateau","Source locale (permanente)",—,1200,"variable (vallée/forêt)",variable,
9,2025-09-16,Phagalcette,Iraty (chalets),14.5,1000,550,6.2h,Simple,"forêt de hêtres, pistes",Chalets Iraty,"Crête d'Iraty – vue sur forêts et crêtes","clairières sous crête",Fontaines Iraty,petite supérette saisonnière,1300,"variable (vallée/forêt)",variable,
10,2025-09-17,Iraty (chalets),Logibar,16,450,1400,6.2h,Moyenne,descente forestière,Auberge Logibar,"Hauteurs de Logibar – vue vallée","replat forestier avant village",Ruisseau Olhadoko erreka,bar/auberge,500,"variable (vallée/forêt)",variable,
11,2025-09-18,Logibar,Ste‑Engrâce,18,950,750,7.2h,Moyenne,"gorges (Kakuetta), sentier",Auberge Ste‑Engrâce,"Crête vers la Pierre-St-Martin – panorama Pyrénées","clairières rive droite","Uhaitza (débit pérenne)","petite épicerie/auberge (saisonnier)",1600,"variable (vallée/forêt)",variable,
12,2025-09-19,Ste‑Engrâce,La Pierre‑St‑Martin,11,550,350,4.3h,Simple,"karst pierreux, lapiaz par endroits",Station PSM,"Col de la Pierre-St-Martin – vue vers Béarn et Navarre","zone abritée en contrebas","Point d'eau capté station (selon saison)","supérette station (saisonnier)",1760,"variable (vallée/forêt)","irrégulier (altitude/crêtes)",
13,2025-09-20,La Pierre‑St‑Martin,Lescun,15.5,500,1200,6h,Moyenne,"vallée glaciaire, sentier pierreux",Gîtes Lescun,"Plateau de Sanchèse – vue sur aiguilles d'Ansabère","vallon de Sanchèse (abrité)",Fontaine Lescun,épicerie/gîte-épicerie,1200,"variable (vallée/forêt)",variable,
14,2025-09-21,Lescun,Etsaut,16,850,1150,6.7h,Difficile,"balcon/chemin de la Mâture (exposé)",Auberge Etsaut,"Col de Borce – panorama","replat avant Lucharry",Fontaine Etsaut,petite épicerie,900,"variable (vallée/forêt)",variable,
15,2025-09-22,Etsaut,Gourette,18,1400,500,7.8h,Difficile,"haute montagne, pierriers",Station Gourette,"Lac d'Anglas – vue haute montagne","vallon abrité avant station",Fontaine Gourette,"stations/commerces (saisonnier)",2070,"orages possibles en altitude","irrégulier (altitude/crêtes)",
16,2025-09-23,Arrens‑Marsous,Cauterets (Pont d'Espagne),18,900,950,7.2h,Difficile,"sentier aménagé, dalles",Refuge Wallon (hors GR10),"Lac de Gaube – vue Vignemale","zone boisée avant passerelle","Eau captée PN (à vérifier)","resto/snack (saisonnier)",1725,"orages possibles en altitude",variable,
17,2025-09-24,Cauterets,Luz‑St‑Sauveur,19,700,1100,7.3h,Difficile,"vallée, pistes",Multiples hébergements,"Col de Riou – panorama vallée","clairières avant ville",Fontaine Luz,pleins commerces,1949,"variable (vallée/forêt)","souvent bon (vallée/ville)",
18,2025-09-25,Luz‑St‑Sauveur,Barèges,12,600,500,4.7h,Simple,montagne pastorale,Hôtels/gîtes Barèges,"Plateau du Lienz – vue Néouvielle","lisière sous le Lienz",Fontaine Barèges,épicerie/boulangerie,1600,"variable (vallée/forêt)","souvent bon (vallée/ville)",
19,2025-09-26,Barèges,Lac de l'Oule (Refuge),18,1000,700,7.2h,Moyenne,"rives lac/barrage, sentier",Refuge de l'Oule,"Bords du lac – vue sur massifs","zone abritée rive est",Eau refuge / captage,—,1820,"variable (vallée/forêt)",variable,
20,2025-09-27,Lac de l'Oule,St‑Lary‑Soulan,14,300,1200,5.2h,Simple,vallée encaissée,Multiples hébergements,"Hauteurs du Pla d'Adet – panorama","clairière avant bourg",Fontaines St‑Lary,pleins commerces,2100,"variable (vallée/forêt)","souvent bon (vallée/ville)",
21,2025-09-28,Gourette,Arrens-Marsous,20,800,,8h,Moyenne,Vallées et montagnes,Gîte Arrens,,,,,,,05 62 97 02 64
22,2025-09-29,Arrens-Marsous,Refuge Wallon,16,1200,,7h,Moyenne,Montagnes et vallées,Refuge Wallon,,,,,,,05 62 92 40 25
23,2025-09-30,Refuge Wallon,Gavarnie,18,400,,7.5h,Moyenne,Vallées et montagnes,Hôtel Gavarnie,,,,,,,05 62 92 48 02
24,2025-10-01,Gavarnie,Refuge des Espuguettes,15,1100,,6.5h,Moyenne,Montagnes et vallées,Refuge des Espuguettes,,,,,,,05 62 92 40 63
25,2025-10-02,Refuge des Espuguettes,Luz-Saint-Sauveur,19,300,,8h,Simple,Vallées et rivières,Hôtel Luz,,,,,,,05 62 92 81 58
26,2025-10-03,Luz-Saint-Sauveur,Barèges,12,600,,5h,Simple,Vallées et rivières,Hôtel Barèges,,,,,,,05 62 92 68 19
27,2025-10-04,Barèges,Refuge de la Glère,14,1000,,6h,Moyenne,Montagnes et vallées,Refuge de la Glère,,,,,,,05 62 92 40 46
28,2025-10-05,Refuge de la Glère,Vielle-Aure,20,400,,8.5h,Moyenne,Vallées et montagnes,Gîte Vielle-Aure,,,,,,,05 62 39 50 83
29,2025-10-06,Vielle-Aure,Refuge du Portillon,18,1400,,8h,Difficile,Montagnes et vallées,Refuge du Portillon,,,,,,,05 61 79 21 43
30,2025-10-07,Refuge du Portillon,Luchon,16,200,,7h,Simple,Vallées et rivières,Hôtel Luchon,,,,,,,05 61 79 01 42
31,2025-10-08,Luchon,Refuge d'Espingo,19,1600,,8.5h,Difficile,Montagnes et vallées,Refuge d'Espingo,,,,,,,05 61 79 20 68
32,2025-10-09,Refuge d'Espingo,Fos,17,300,,7.5h,Moyenne,Vallées et montagnes,Gîte Fos,,,,,,,05 61 79 11 24
33,2025-10-10,Fos,Refuge de Rioumajou,21,1300,,9h,Difficile,Montagnes et vallées,Refuge de Rioumajou,,,,,,,05 62 39 61 09
34,2025-10-11,Refuge de Rioumajou,Saint-Lary-Soulan,18,400,,7.5h,Simple,Vallées et rivières,Hôtel Saint-Lary,,,,,,,05 62 39 50 81
35,2025-10-12,Saint-Lary-Soulan,Refuge de Bastan,16,1100,,7h,Moyenne,Montagnes et vallées,Refuge de Bastan,,,,,,,05 62 39 68 20
36,2025-10-13,Refuge de Bastan,Refuge de Campana de Cloutou,14,600,,6.5h,Moyenne,Montagnes et vallées,Refuge Campana de Cloutou,,,,,,,05 62 39 61 24
37,2025-10-14,Refuge de Campana de Cloutou,Chalet-Hôtel de Oô,15,200,,6.5h,Simple,Vallées et rivières,Chalet-Hôtel de Oô,,,,,,,05 61 79 21 97
38,2025-10-15,Chalet-Hôtel de Oô,Refuge d'Estom,13,800,,6h,Moyenne,Montagnes et vallées,Refuge d'Estom,,,,,,,05 62 92 40 63
39,2025-10-16,Refuge d'Estom,Cauterets,17,300,,7.5h,Simple,Vallées et rivières,Hôtel Cauterets,,,,,,,05 62 92 52 53
40,2025-10-17,Cauterets,Refuge des Oulettes,14,900,,6h,Moyenne,Montagnes et vallées,Refuge des Oulettes,,,,,,,05 62 92 40 63
41,2025-10-18,Refuge des Oulettes,Refuge Bayssellance,12,500,,5.5h,Difficile,Montagnes et vallées,Refuge Bayssellance,,,,,,,05 62 92 40 25
42,2025-10-19,Refuge Bayssellance,Refuge de Pineta (Espagne),16,200,,7h,Moyenne,Montagnes et vallées,Refuge de Pineta,,,,,,,+34 974 50 10 92
43,2025-10-20,Refuge de Pineta,Refuge de Góriz (Espagne),14,1200,,6.5h,Moyenne,Montagnes et vallées,Refuge de Góriz,,,,,,,+34 974 34 12 01
44,2025-10-21,Refuge de Góriz,Refuge de la Rencluse,18,400,,7.5h,Difficile,Montagnes et vallées,Refuge de la Rencluse,,,,,,,05 61 79 21 43
45,2025-10-22,Refuge de la Rencluse,Mérens-les-Vals,20,600,,8h,Simple,Vallées et montagnes,Gîte Mérens,,,,,,,05 61 02 87 22
46,2025-10-23,Mérens-les-Vals,Refuge des Besines,16,1300,,7h,Moyenne,Montagnes et vallées,Refuge des Besines,,,,,,,05 61 64 24 24
47,2025-10-24,Refuge des Besines,Refuge de Rulhe,15,500,,6.5h,Moyenne,Montagnes et vallées,Refuge de Rulhe,,,,,,,04 68 04 21 97
48,2025-10-25,Refuge de Rulhe,Refuge de Mariailles,17,400,,7h,Simple,Vallées et montagnes,Refuge de Mariailles,,,,,,,04 68 05 12 99
